Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,Type,IFMAP Base Addr,Filter Base Addr,Ofmap Base Addr,
Conv1,11991,147,147,64,1,1,1,Dir_Gemm,-1,-2,-1,
BN1,11991,64,1,1,1,1,128,Other,-1,-2,-1,
relu1,11991,64,1,1,1,1,30,Other,-1,-2,-1,
maxpool1,11991,64,1,1,1,1,4,Other,-1,-2,-1,
CB2a_1,3136,64,64,64,1,1,1,Dir_Gemm,-1,-2,-1,
CB2a_2,2916,576,576,64,1,1,1,Dir_Gemm,-1,-2,-1,
CB2a_3,3136,64,64,256,1,1,1,Dir_Gemm,-1,-2,-1,
CB2s,3136,64,64,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB2b_1,3136,256,256,64,1,1,1,Dir_Gemm,-1,-2,-1,
IB2b_2,2916,576,576,64,1,1,1,Dir_Gemm,-1,-2,-1,
IB2b_3,3136,64,64,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB2c_1,3136,256,256,64,1,1,1,Dir_Gemm,-1,-2,-1,
IB2c_2,2916,576,576,64,1,1,1,Dir_Gemm,-1,-2,-1,
IB2c_3,3136,64,64,256,1,1,1,Dir_Gemm,-1,-2,-1,
BN2,3136,64,1,1,1,1,128,Other,-1,-2,-1,
relu2,3136,64,1,1,1,1,30,Other,-1,-2,-1,
CB3a_1,813,256,256,128,1,1,1,Dir_Gemm,-1,-2,-1,
CB3a_2,676,1152,1152,128,1,1,1,Dir_Gemm,-1,-2,-1,
CB3a_3,784,128,128,512,1,1,1,Dir_Gemm,-1,-2,-1,
CB3s,813,256,256,512,1,1,1,Dir_Gemm,-1,-2,-1,
IB3b_1,784,512,512,128,1,1,1,Dir_Gemm,-1,-2,-1,
IB3b_2,676,1152,1152,128,1,1,1,Dir_Gemm,-1,-2,-1,
IB3b_3,784,128,128,512,1,1,1,Dir_Gemm,-1,-2,-1,
IB3c_1,784,512,512,128,1,1,1,Dir_Gemm,-1,-2,-1,
IB3c_2,676,1152,1152,128,1,1,1,Dir_Gemm,-1,-2,-1,
IB3c_3,784,128,128,512,1,1,1,Dir_Gemm,-1,-2,-1,
IB3d_1,784,512,512,128,1,1,1,Dir_Gemm,-1,-2,-1,
IB3d_2,676,1152,1152,128,1,1,1,Dir_Gemm,-1,-2,-1,
IB3d_3,784,128,128,512,1,1,1,Dir_Gemm,-1,-2,-1,
BN3,784,64,1,1,1,1,128,Other,-1,-2,-1,
relu3,784,64,1,1,1,1,30,Other,-1,-2,-1,
CB4a_1,211,512,512,256,1,1,1,Dir_Gemm,-1,-2,-1,
CB4a_2,144,2304,2304,256,1,1,1,Dir_Gemm,-1,-2,-1,
CB4a_3,196,256,256,1024,1,1,1,Dir_Gemm,-1,-2,-1,
CB4s,211,512,512,1024,1,1,1,Dir_Gemm,-1,-2,-1,
IB4b_1,196,1024,1024,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB4b_2,144,2304,2304,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB4b_3,196,256,256,1024,1,1,1,Dir_Gemm,-1,-2,-1,
IB4c_1,196,1024,1024,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB4c_2,144,2304,2304,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB4c_3,196,256,256,1024,1,1,1,Dir_Gemm,-1,-2,-1,
IB4d_1,196,1024,1024,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB4d_2,144,2304,2304,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB4d_3,196,256,256,1024,1,1,1,Dir_Gemm,-1,-2,-1,
IB4e_1,196,1024,1024,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB4e_2,144,2304,2304,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB4e_3,196,256,256,1024,1,1,1,Dir_Gemm,-1,-2,-1,
IB4f_1,196,1024,1024,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB4f_2,144,2304,2304,256,1,1,1,Dir_Gemm,-1,-2,-1,
IB4f_3,196,256,256,1024,1,1,1,Dir_Gemm,-1,-2,-1,
BN4,196,256,1,1,1,1,128,Other,-1,-2,-1,
relu4,196,256,1,1,1,1,30,Other,-1,-2,-1,
CB5a_1,57,1024,1024,512,1,1,1,Dir_Gemm,-1,-2,-1,
CB5a_2,25,4608,4608,512,1,1,1,Dir_Gemm,-1,-2,-1,
CB5a_3,49,512,512,2048,1,1,1,Dir_Gemm,-1,-2,-1,
CB5s,57,1024,1024,2048,1,1,1,Dir_Gemm,-1,-2,-1,
IB5b_1,49,2048,2048,512,1,1,1,Dir_Gemm,-1,-2,-1,
IB5b_2,25,4608,4608,512,1,1,1,Dir_Gemm,-1,-2,-1,
IB5b_3,49,512,512,2048,1,1,1,Dir_Gemm,-1,-2,-1,
IB5c_1,49,2048,2048,512,1,1,1,Dir_Gemm,-1,-2,-1,
IB5c_2,25,4608,4608,512,1,1,1,Dir_Gemm,-1,-2,-1,
IB5c_3,49,512,512,2048,1,1,1,Dir_Gemm,-1,-2,-1,
BN5,49,256,1,1,1,1,128,Other,-1,-2,-1,
relu5,49,256,1,1,1,1,30,Other,-1,-2,-1,
FC6,1,2048,2048,1000,1,1,1,Dir_Gemm,-1,-2,-1,
avgpool6,1000,1,1,1,1,1,4,Other,-1,-2,-1,
softmax6,1000,1,1,1,1,1,40,Other,-1,-2,-1,
