Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr, Filter Base Addr, Ofmap Base Addr,
Conv1,171396,27,27,16,1,1,1,Dir_Gemm,-1,-1,-1,
BN1,171396,16,1,1,1,1,128,Other,-1,-2,-1,
relu1,171396,16,1,1,1,1,30,Other,-1,-2,-1,
maxpool1,171396,16,1,1,1,1,4,Other,-1,-2,-1,
Conv2,42025,144,144,32,1,1,1,Dir_Gemm,-1,-2,-1,
BN2,42025,32,1,1,1,1,128,Other,-1,-2,-1,
relu2,42025,32,1,1,1,1,30,Other,-1,-2,-1,
maxpool2,42025,32,1,1,1,1,4,Other,-1,-2,-1,
Conv3,10201,288,288,64,1,1,1,Dir_Gemm,-1,-2,-1,
BN3,10201,64,1,1,1,1,128,Other,-1,-2,-1,
relu3,10201,64,1,1,1,1,30,Other,-1,-2,-1,
maxpool3,10201,64,1,1,1,1,4,Other,-1,-2,-1,
Conv4,2500,576,576,128,1,1,1,Dir_Gemm,-1,-2,-1,
BN4,2500,128,1,1,1,1,128,Other,-1,-2,-1,
relu4,2500,128,1,1,1,1,30,Other,-1,-2,-1,
maxpool4,2500,128,1,1,1,1,4,Other,-1,-2,-1,
Conv5,576,1152,1152,256,1,1,1,Dir_Gemm,-1,-2,-1,
BN5,576,256,1,1,1,1,128,Other,-1,-2,-1,
relu5,576,256,1,1,1,1,30,Other,-1,-2,-1,
maxpool5,576,256,1,1,1,1,4,Other,-1,-2,-1,
Conv6,121,2304,2304,512,1,1,1,Dir_Gemm,-1,-2,-1,
BN6,121,512,1,1,1,1,128,Other,-1,-2,-1,
relu6,121,512,1,1,1,1,30,Other,-1,-2,-1,
maxpool6,121,512,1,1,1,1,4,Other,-1,-2,-1,
Conv7,81,4608,4608,1024,1,1,1,Dir_Gemm,-1,-2,-1,
BN7,81,1024,1,1,1,1,128,Other,-1,-2,-1,
relu7,8,1024,1,1,1,1,30,Other,-1,-2,-1,
maxpool7,81,1024,1,1,1,1,4,Other,-1,-2,-1,
Conv8,49,9216,9216,1024,1,1,1,Dir_Gemm,-1,-2,-1,
BN8,49,1024,1,1,1,1,128,Other,-1,-2,-1,
relu8,49,1024,1,1,1,1,30,Other,-1,-2,-1,
maxpool8,49,1024,1,1,1,1,4,Other,-1,-2,-1,
Conv9,49,1024,1024,125,1,1,1,Dir_Gemm,-1,-2,-1,
BN9,49,125,1,1,1,1,128,Other,-1,-2,-1,
relu9,49,125,1,1,1,1,30,Other,-1,-2,-1,
maxpool9,49,125,1,1,1,1,4,Other,-1,-2,-1,
