Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr, Filter Base Addr, Ofmap Base Addr,
multiply_reduce_fusion.281,3072,3072,3072,1,1,1,1,Dir_Gemm,-1,-1,-1,
rope1,24,128,1,1,1,1,1,Other,-1,-2,-1,
rope2,128,1,1,1,1,1,30,Other,-1,-2,-1,
rope3,256,1,1,1,1,1,30,Other,-1,-2,-1,
multiply_reduce_fusion.393,1024,3072,3072,1,1,1,1,Dir_Gemm,-1,-2,-1,
rope4,8,64,1,1,1,1,1,Other,-1,-2,-1,
rope5,8,128,1,1,1,1,1,Other,-1,-2,-1,
gqa_prep1,936,128,1,1,1,1,1,Other,-1,-2,-1,
gqa_prep2,2808,128,1,1,1,1,1,Other,-1,-2,-1,
multiply_reduce_fusion.505_0,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_1,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_2,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_3,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_4,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_5,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_6,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_7,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_8,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_9,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_10,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_11,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_12,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_13,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_14,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_15,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_16,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_17,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
multiply_reduce_fusion.505_18,128,117,117,128,1,1,1,Dir_Gemm,-1,-2,-1,
