Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr, Filter Base Addr, Ofmap Base Addr,
multiply_reduce_fusion.267_0,2048,2048,2048,1,1,1,1,Dir_Gemm,-1,-1,-1,
multiply_reduce_fusion.267_1,2048,2048,2048,1,1,1,1,Dir_Gemm,-1,-1,-1,
multiply_reduce_fusion.267_2,2048,2048,2048,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_0,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_1,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_2,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_3,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_4,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_5,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_6,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_7,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_8,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_9,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_10,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_11,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_12,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_13,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_14,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_15,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_16,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_17,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_18,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_19,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_20,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_21,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_22,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_23,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
fusion.1774_24,117,64,64,1,1,1,1,Dir_Gemm,-1,-1,-1,
