Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr, Filter Base Addr, Ofmap Base Addr,
copy,200000,128,1,1,1,1,1,Other,-1,-1,-1,
compare_select_fusion.1,16,1,1,1,1,1,2,Other,-1,-2,-1,
pad_clamp_fusion.1,2048,1,1,1,1,1,1,Other,-1,-2,-1,
fusion.1,16,64,1,1,1,1,4,Other,-1,-2,-1,
copy.1,200000,128,1,1,1,1,1,Other,-1,-2,-1,
compare_select_fusion,16,1,1,1,1,1,2,Other,-1,-2,-1,
pad_clamp_fusion,2048,1,1,1,1,1,1,Other,-1,-2,-1,
fusion,16,64,1,1,1,1,4,Other,-1,-2,-1,
compare_and_fusion,16,1,1,1,1,1,2,Other,-1,-2,-1,
GEMM1,256,64,64,8,1,1,1,Dir_Gemm,-1,-2,-1,
relu1,256,8,1,1,1,1,30,Other,-1,-2,-1,
GEMM2,128,256,256,8,1,1,1,Dir_Gemm,-1,-2,-1,
relu2,128,8,1,1,1,1,30,Other,-1,-2,-1,
compare_and_fusion.1,16,1,1,1,1,1,2,Other,-1,-2,-1,
GEMM3,64,128,128,8,1,1,1,Dir_Gemm,-1,-2,-1,
mult,16,64,1,1,1,1,2,Other,-1,-2,-1,
multiply_add_fusion.1,16,1,1,1,1,1,4,Other,-1,-2,-1,
