Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr, Filter Base Addr, Ofmap Base Addr,
GEMM1,256,2048,2048,128,1,1,1,Gemm,-1,-1,-1,
GEMM2,128,2048,2048,64,1,1,1,Gemm,-2,-1,-1,
GEMM3,256,2048,2048,256,1,1,1,Gemm,-2,-1,-1,
GEMM4,2048,256,256,256,1,1,1,Gemm,-2,-1,-1,
GEMM5,2048,256,256,256,1,1,1,Gemm,-2,-1,-1,
GEMM6,2048,256,256,128,1,1,1,Gemm,-2,-1,-1,
GEMM7,2048,128,128,256,1,1,1,Gemm,-2,-1,-1,
GEMM8,2048,64,64,128,1,1,1,Gemm,-2,-1,-1,
GEMM9,2048,128,128,64,1,1,1,Gemm,-2,-1,-1,
GEMM10,128,2048,2048,1,1,1,1,Gemm,-2,-1,-1,
GEMM11,2048,128,128,1,1,1,1,Gemm,-2,-1,-1,
GEMM12,2048,1,1,128,1,1,1,Gemm,-2,-1,-1,
